algorithm,no_of_days,test_size,loopback,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_time_steps,1200,178,3,100,2,1.83,3.67,96,BABA,close
lstm_time_steps,1200,153,28,100,1,1.86,3.8,872,BABA,close
lstm_time_steps,900,172,7,100,4,1.94,3.81,74,BABA,close
lstm_time_steps,1200,174,7,50,2,1.91,3.82,61,BABA,close
lstm_time_steps,1200,153,28,50,1,1.95,3.82,397,BABA,close
lstm_time_steps,1200,167,14,50,1,2.02,3.87,200,BABA,close
lstm_time_steps,900,176,3,100,4,1.91,3.88,50,BABA,close
lstm_time_steps,900,151,28,100,1,1.98,3.88,868,BABA,close
lstm_time_steps,1200,167,14,100,1,1.82,3.9,492,BABA,close
lstm_time_steps,1200,174,7,100,2,1.95,3.92,153,BABA,close
lstm_time_steps,900,151,28,50,1,1.81,3.98,373,BABA,close
lstm_time_steps,900,151,28,30,1,1.93,4.04,318,BABA,close
lstm_time_steps,900,151,28,40,1,1.84,4.05,434,BABA,close
lstm_time_steps,900,119,60,50,1,1.84,4.52,745,BABA,close
lstm_time_steps,900,119,60,100,1,1.82,4.52,1483,BABA,close
lstm_time_steps,900,151,28,20,1,1.98,4.55,166,BABA,close
lstm_time_steps,900,165,14,100,5,1.83,4.56,111,BABA,close
lstm_time_steps,900,165,14,30,5,2.27,4.59,43,BABA,close
lstm_time_steps,300,56,3,30,4,3.49,4.78,7,BABA,close
lstm_time_steps,1200,178,3,50,2,2.23,4.8,43,BABA,close
lstm_time_steps,600,91,28,40,1,2.34,4.83,329,BABA,close
lstm_time_steps,300,56,3,20,4,3.48,5,4,BABA,close
lstm_time_steps,300,56,3,10,4,4.55,5.02,2,BABA,close
lstm_time_steps,600,116,3,10,4,2.86,5.06,3,BABA,close
lstm_time_steps,300,31,28,30,1,3.33,5.06,127,BABA,close
lstm_time_steps,600,116,3,20,4,2.54,5.1,7,BABA,close
lstm_time_steps,300,56,3,40,4,3.82,5.1,26,BABA,close
lstm_time_steps,900,172,7,20,4,2.63,5.17,14,BABA,close
lstm_time_steps,300,52,7,20,4,4.01,5.34,6,BABA,close
lstm_time_steps,900,172,7,50,4,2.76,5.34,31,BABA,close
lstm_time_steps,900,172,7,40,4,2.44,5.41,78,BABA,close
lstm_time_steps,600,116,3,40,4,2.57,5.44,31,BABA,close
lstm_time_steps,900,176,3,50,4,2.2,5.58,24,BABA,close
lstm_time_steps,300,52,7,10,4,4.64,5.72,3,BABA,close
lstm_time_steps,900,172,7,10,4,2.88,5.83,7,BABA,close
lstm_time_steps,900,165,14,40,5,2.73,5.85,99,BABA,close
lstm_time_steps,900,165,14,50,5,2.5,5.85,45,BABA,close
lstm_time_steps,300,52,7,40,4,4.37,5.89,34,BABA,close
lstm_time_steps,600,105,14,40,5,2.63,5.91,72,BABA,close
lstm_time_steps,300,52,7,30,4,4.82,6,9,BABA,close
lstm_time_steps,300,31,28,20,1,4.33,6.06,45,BABA,close
lstm_time_steps,600,116,3,30,4,2.62,6.07,14,BABA,close
lstm_time_steps,1200,121,60,50,1,1.81,6.08,719,BABA,close
lstm_time_steps,900,176,3,10,4,2.21,6.09,4,BABA,close
lstm_time_steps,300,31,28,40,1,4.02,6.31,212,BABA,close
lstm_time_steps,900,176,3,30,4,2.33,6.37,18,BABA,close
lstm_time_steps,600,112,7,10,4,2.93,6.38,5,BABA,close
lstm_time_steps,900,176,3,20,4,2.33,6.4,10,BABA,close
lstm_time_steps,600,91,28,30,1,2.7,6.45,290,BABA,close
lstm_time_steps,600,105,14,20,5,3.27,6.49,13,BABA,close
lstm_time_steps,900,165,14,20,5,3.38,6.49,18,BABA,close
lstm_time_steps,900,165,14,10,5,2.95,6.58,9,BABA,close
lstm_time_steps,600,112,7,30,4,3.22,6.63,18,BABA,close
lstm_time_steps,600,112,7,20,4,3.46,6.64,10,BABA,close
lstm_time_steps,300,45,14,10,5,4.9,6.86,4,BABA,close
lstm_time_steps,600,91,28,20,1,2.84,6.89,96,BABA,close
lstm_time_steps,300,45,14,30,5,4.61,6.95,15,BABA,close
lstm_time_steps,600,112,7,40,4,2.99,6.95,45,BABA,close
lstm_time_steps,600,105,14,10,5,3.57,7.04,6,BABA,close
lstm_time_steps,300,45,14,40,5,5.08,7.15,29,BABA,close
lstm_time_steps,300,31,28,10,1,4.45,7.42,22,BABA,close
lstm_time_steps,900,151,28,10,1,2.69,7.53,73,BABA,close
lstm_time_steps,600,105,14,30,5,3.05,7.59,36,BABA,close
lstm_time_steps,900,176,3,40,4,2.37,7.83,55,BABA,close
lstm_time_steps,600,91,28,10,1,4.12,7.9,43,BABA,close
lstm_time_steps,900,172,7,30,4,2.41,7.95,37,BABA,close
lstm_time_steps,1200,121,60,100,1,1.88,8.02,1399,BABA,close
lstm_time_steps,300,45,14,20,5,6.02,8.17,7,BABA,close
